City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Narsaq,GL,60.9167,-46.05,29.39,73,100,8.37,overcast clouds
231,Behbahan,IR,30.5959,50.2417,51.12,47,85,2.04,overcast clouds
232,Cauquenes,CL,-35.9671,-72.3225,89.78,11,0,8.77,clear sky
233,Guayaramerin,BO,-10.8368,-65.3614,89.83,52,66,0.6,broken clouds
234,Balakhta,RU,55.38,91.6,13.71,92,93,6.8,overcast clouds
235,Guerrero Negro,MX,27.9769,-114.0611,69.03,59,100,14.85,overcast clouds
236,Alice,US,27.7523,-98.0697,83.77,49,16,9.64,few clouds
237,Dolinsk,RU,47.35,142.8,6.66,87,26,4.94,scattered clouds
238,Conceicao Do Araguaia,BR,-8.2578,-49.2647,77.72,90,100,3.67,light rain
239,Ondjiva,AO,-17.0667,15.7333,73.78,54,78,4.43,broken clouds
240,Marrakesh,MA,31.6315,-8.0083,53.67,58,0,8.05,clear sky
241,Kahului,US,20.8947,-156.47,70.97,67,100,7.07,overcast clouds
242,Sao Filipe,CV,14.8961,-24.4956,75.79,72,91,9.95,overcast clouds
243,Noumea,NC,-22.2763,166.4572,82.0,99,66,4.85,broken clouds
244,Itaituba,BR,-4.2761,-55.9836,82.56,83,75,10.36,moderate rain
245,Buraydah,SA,26.326,43.975,59.45,40,2,7.85,clear sky
246,Ambilobe,MG,-13.2,49.05,77.2,74,1,5.14,clear sky
247,Mayumba,GA,-3.432,10.6554,77.86,91,100,5.41,overcast clouds
248,Livingston,GB,55.9029,-3.5226,41.85,76,20,8.05,few clouds
249,Leh,IN,34.1667,77.5833,17.2,69,18,2.46,few clouds
250,Isangel,VU,-19.55,169.2667,77.11,94,75,0.0,broken clouds
251,Camana,PE,-16.6228,-72.7111,70.47,76,85,7.23,overcast clouds
252,West Bay,KY,19.3667,-81.4167,82.47,79,75,3.0,broken clouds
253,San Rafael,AR,-34.6177,-68.3301,67.62,58,85,10.25,overcast clouds
254,Bontang,ID,0.1333,117.5,78.19,86,100,4.74,overcast clouds
255,Xinan,CN,26.72,119.8556,51.35,74,100,7.52,overcast clouds
256,New Philadelphia,US,40.4898,-81.4457,50.22,47,16,7.9,few clouds
257,Vila Velha,BR,-20.3297,-40.2925,76.95,76,75,1.01,broken clouds
258,Champerico,GT,14.3,-91.9167,95.54,62,0,7.36,clear sky
259,Yellowknife,CA,62.456,-114.3525,-23.58,79,20,6.91,few clouds
260,Nome,US,64.5011,-165.4064,3.27,85,20,0.0,mist
261,Muisne,EC,0.6,-80.0333,76.96,78,100,11.48,overcast clouds
262,Erenhot,CN,43.6475,111.9767,25.9,46,15,15.21,few clouds
263,Mugur-Aksy,RU,50.35,90.5,5.88,84,19,6.49,few clouds
264,Osorno,CL,-40.5667,-73.15,73.71,40,0,10.36,clear sky
265,Maiduguri,NG,11.8464,13.1603,75.65,24,66,9.37,broken clouds
266,Grakhovo,RU,56.0502,51.9676,30.96,91,98,11.27,overcast clouds
267,Voi,KE,-3.3945,38.563,71.85,87,79,3.2,light rain
268,Shelburne,CA,44.0787,-80.2041,34.27,77,46,16.06,scattered clouds
269,Yar,RU,58.249,52.1026,26.17,90,100,11.7,overcast clouds
270,Saint Anthony,US,45.0205,-93.218,34.25,53,90,1.99,overcast clouds
271,Matara,LK,5.9485,80.5353,76.64,91,93,4.52,light rain
272,Poum,NC,-20.2333,164.0167,80.56,73,9,12.33,clear sky
273,Saint-Joseph,RE,-21.3667,55.6167,77.36,81,22,8.77,few clouds
274,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,9.22,thunderstorm
275,Lebu,CL,-37.6167,-73.65,58.75,70,0,20.92,clear sky
276,Grindavik,IS,63.8424,-22.4338,28.87,86,20,13.8,few clouds
277,Teguldet,RU,57.3064,88.1667,20.89,93,100,9.89,overcast clouds
278,Milove,UA,49.3787,40.1302,31.71,95,100,8.34,light snow
279,Williamsburg,US,37.2707,-76.7075,61.75,70,1,3.0,clear sky
280,Lucapa,AO,-8.4192,20.7447,66.6,96,81,2.17,broken clouds
281,Flinders,AU,-34.5833,150.8552,62.19,84,97,11.3,light rain
282,Dikson,RU,73.5069,80.5464,-22.63,100,100,8.21,overcast clouds
283,Morgan City,US,29.6994,-91.2068,81.0,42,3,1.88,clear sky
284,San Quintin,MX,30.4833,-115.95,64.38,73,3,18.81,clear sky
285,Port Lincoln,AU,-34.7333,135.8667,59.18,72,100,12.71,overcast clouds
286,Alofi,NU,-19.0595,-169.9187,80.49,83,40,4.61,light rain
287,Hasaki,JP,35.7333,140.8333,37.8,60,3,19.35,clear sky
288,Bengkulu,ID,-3.8004,102.2655,75.85,89,100,7.4,overcast clouds
289,Yashan,CN,22.1975,109.9419,52.99,40,66,3.8,broken clouds
290,Meadow Lake,US,34.8014,-106.5436,68.77,27,0,4.14,clear sky
291,Kavieng,PG,-2.5744,150.7967,82.36,80,100,12.71,moderate rain
292,Ahuimanu,US,21.4447,-157.8378,75.45,64,100,7.78,overcast clouds
293,Santa Maria,BR,-29.6842,-53.8069,88.9,43,0,5.75,clear sky
294,Nirasaki,JP,35.7,138.45,33.89,79,7,3.4,clear sky
295,Leningradskiy,RU,69.3833,178.4167,-17.09,96,95,5.82,overcast clouds
296,Rovaniemi,FI,66.5,25.7167,0.81,85,0,8.05,clear sky
297,Boende,CD,-0.2167,20.8667,72.03,96,100,2.46,light rain
298,Sivas,TR,39.7916,37.0019,33.73,87,100,6.17,light rain
